	SITE_ID	INDUSTRY	SUB_INDUSTRY	SQ_FT	LAT	LNG	ADDRESS	STATE	ZIP_CODE
0	6	Commercial Property	Shopping Center/Shopping Mall	161532	34.78300117	-106.8952497	113 Quintana Rd, Los Lunas, NM 87031, USA	NM	87031
1	8	Commercial Property	Shopping Center/Shopping Mall	823966	40.32024733	-76.40494239	Unnamed Road, Lebanon, PA 17042, USA	PA	17042
2	9	Commercial Property	Corporate Office	169420	40.94675135	-74.74208726	80 S Shore Rd, Byram Township, NJ 07821, USA	NJ	07821
3	10	Commercial Property	Shopping Center/Shopping Mall	1029798	39.73250384	-75.00686126	620 Berlin - Cross Keys Rd, Sicklerville, NJ 08081, USA	NJ	08081
4	12	Commercial Property	Business Services	179665	39.69454093	-74.89916595	18 Waltham Way, Sicklerville, NJ 08081, USA	NJ	08081
5	13	Commercial Property	Commercial Real Estate	185847	38.78465068	-77.47833675	Historic District, 7900 Augusta Rd, City of Manassas, VA 20111, USA	VA	20111
6	14	Commercial Property	Business Services	1675720	47.82001743	-122.10140700000001	9617 196th St SE, Snohomish, WA 98296, USA	WA	98296
7	21	Commercial Property	Shopping Center/Shopping Mall	783982	36.80665087	-76.82877146	5435 State Rte 603, Zuni, VA 23898, USA	VA	23898
8	22	Commercial Property	Bank/Financial Services	318130	38.16780583	-122.7019178	907 Hicks Valley Rd, Petaluma, CA 94952, USA	CA	94952
9	25	Commercial Property	Shopping Center/Shopping Mall	1807149	41.98151724	-71.62104984	2300 Broncos Hwy, Burrillville, RI 02830, USA	RI	02830
10	29	Commercial Property	Shopping Center/Shopping Mall	377537	40.63134048	-74.91601589	18 Hancock St, Clinton, NJ 08809, USA	NJ	08809
11	30	Commercial Property	Bank/Financial Services	496517	47.29794461	-122.5435293	5300 N Salmon Beach Dr, Tacoma, WA 98407, USA	WA	98407
12	31	Commercial Property	Commercial Real Estate	294651	33.18898647	-117.2366393	855 Phillips St, Vista, CA 92083, USA	CA	92083
13	32	Commercial Property	Shopping Center/Shopping Mall	880941	34.37390331	-87.04651781	254 Summerford Rd, Danville, AL 35619, USA	AL	35619
14	36	Commercial Property	Business Services	126205	40.29934951	-75.47752837	111 Hendricks Rd, Perkiomenville, PA 18074, USA	PA	18074
15	41	Commercial Property	Corporate Office	191554	41.03863897	-74.86575381	905 Twin River Dr, Newton, NJ 07860, USA	NJ	07860
16	42	Commercial Property	Shopping Center/Shopping Mall	1237908	37.56641953	-79.56338786	Skillern Mountain, Natural Bridge Station, VA 24579, USA	VA	24579
17	44	Commercial Property	Shopping Center/Shopping Mall	192167	44.74241776	-73.58554074	124 Trim Rd, Morrisonville, NY 12962, USA	NY	12962
18	45	Commercial Property	Shopping Center/Shopping Mall	1200131	36.36301864	-87.03013879	1170 Chamberlain Rd, Ashland City, TN 37015, USA	TN	37015
19	49	Commercial Property	Shopping Center/Shopping Mall	497092	41.2161756	-78.14809154	3 Runs Rd, Pottersdale, PA 16871, USA	PA	16871
20	51	Commercial Property	Shopping Center/Shopping Mall	65961	43.18250295	-112.6869112	2023 W 100 S, Pingree, ID 83262, USA	ID	83262
21	55	Commercial Property	Shopping Center/Shopping Mall	625142	39.91023717	-80.51961034	Wolf Run, Cameron, WV 26033, USA	WV	26033
22	56	Commercial Property	Commercial Real Estate	428277	39.20897557	-76.69972177	3333 Furnace Ave, Hanover, MD 21076, USA	MD	21076
23	65	Commercial Property	Commercial Real Estate	476246	39.25982033	-76.95122033	4014 Jumpers Hill Ln, Ellicott City, MD 21042, USA	MD	21042
24	78	Commercial Property	Shopping Center/Shopping Mall	1037364	35.69328223	-87.01858864	2311 Darks Mill Rd, Columbia, TN 38401, USA	TN	38401
25	88	Education	Primary/Secondary School	94150	40.31513263	-75.47204123	2086 Kratz Station Rd, Harleysville, PA 19438, USA	PA	19438
26	92	Education	Primary/Secondary School	105530	40.24392238	-74.91771912	260 Burgundy Ln, Newtown, PA 18940, USA	PA	18940
27	99	Education	Primary/Secondary School	79503	36.57549581	-86.22741261	268 City Park Rd, Westmoreland, TN 37186, USA	TN	37186
28	100	Education	Primary/Secondary School	81681	38.63511632	-75.93401425	Unnamed Road, Hurlock, MD 21643, USA	MD	21643
29	101	Education	Primary/Secondary School	274418	35.59674915	-83.83065746	cades cove, Great Smoky Mountains National Park, TN, United States	TN	37882
30	103	Education	Primary/Secondary School	217241	38.00903622	-75.37697374	2053 Franklin City Rd, Greenbackville, VA 23356, USA	VA	23356
